,Loss,Error
0,11.426693,1322845.6
1,10.021845,0.95251596
2,11.049861,0.94403905
3,11.439331,0.92245835
4,13.446919,4462208.0
5,10.68418,6474665.5
6,9.235307,0.8650551
7,10.242691,0.8539232
8,10.662195,0.8381961
9,12.757907,8436982.0
10,10.003581,11076234.0
11,8.484789,0.78144515
12,9.487674,0.7702894
13,9.950502,0.773101
14,12.120901,12588778.0
15,9.365497,15544830.0
16,7.8119726,0.7222551
17,8.780286,0.69555235
18,9.265961,0.71243155
19,11.516729,16983004.0
20,8.7612295,20046036.0
21,7.232061,0.6921847
22,8.115117,0.6298331
23,8.61588,0.65949833
24,10.950935,21521304.0
25,8.200571,24346956.0
26,6.7111406,0.67292845
27,7.4843636,0.569458
28,8.02196,0.61660695
29,10.443194,25986800.0
30,7.676108,28376080.0
31,6.2329054,0.6605752
32,6.888072,0.51498836
33,7.4674325,0.58073336
34,9.967168,30228714.0
35,7.176772,32426548.0
36,5.7833834,0.6539791
37,6.3444467,0.47190827
38,6.93197,0.548617
39,9.50385,34284052.0
40,6.7541566,36500084.0
41,5.375451,0.653437
42,5.889952,0.44401798
43,6.4700103,0.5270028
44,9.075478,38182170.0
45,6.373501,40334824.0
46,5.0463705,0.66252315
47,5.490333,0.4222146
48,6.0892153,0.51505935
49,8.712445,41876736.0
50,6.016986,43999064.0
51,4.7835484,0.6776345
52,5.1428375,0.4058197
53,5.7539153,0.5068298
54,8.440115,45323210.0
55,5.6981473,47408504.0
56,4.621118,0.701438
57,4.881411,0.39845556
58,5.485868,0.5046923
59,8.21707,48457188.0
60,5.448653,50469172.0
61,4.533841,0.7271756
62,4.712558,0.40028295
63,5.2666926,0.5053217
64,8.034023,51200720.0
65,5.238517,53154040.0
66,4.4804187,0.74747145
67,4.5926085,0.40536436
68,5.098728,0.5085572
69,7.8690553,53600110.0
