,Longitudes,dew,DATE,min_aod,ceiling,Latitudes,temperature,wind_y,precipitation_duration,max_aod,wind_x,pressure,mean_aod,STATION,pm25,Unnamed: 0,visibility,precipitation_depth
0,33.66484012,,2018-02-01,0.117,,-118.2257773,,,,0.193,,10150.29167,0.151434783,106.0,,,,
1,33.66484012,,2018-02-03,0.066,,-118.2257773,,,,0.147,,10185.125,0.097443038,106.0,,,,
73,33.70208039,,2018-02-01,0.131,,-118.2257773,,,,0.258,,10150.29167,0.168442623,107.0,,,,
74,33.70208039,,2018-02-03,0.035,,-118.2257773,,,,0.202,,10185.125,0.111661538,107.0,,,,
151,33.73932067,,2018-02-01,0.117,,-118.2257773,,,,0.226,,10150.29167,0.163901408,108.0,,,,
152,33.73932067,,2018-02-03,0.035,,-118.2257773,,,,0.187,,10185.125,0.11339726,108.0,,,,
243,33.77656094,,2018-02-01,0.097,,-118.2257773,,,,0.192,,10150.29167,0.145097222,109.0,,,,
244,33.77656094,,2018-02-03,0.053,,-118.2257773,,,,0.182,,10185.125,0.111704225,109.0,,,,
335,33.81380122,,2018-02-01,0.097,,-118.2257773,,,,0.23,,10150.29167,0.142119048,110.0,,,,
336,33.81380122,,2018-02-03,0.064,,-118.2257773,,,,0.193,,10185.125,0.126096386,110.0,,,,
427,33.85104149,,2018-02-01,0.095,,-118.2257773,,,,0.21,,10150.29167,0.14535,111.0,,,,
428,33.85104149,,2018-02-03,0.086,,-118.2257773,,,,0.193,,10185.125,0.128154762,111.0,,,,
518,33.66484012,,2018-02-01,0.129,,-118.2706931,,,,0.187,,10150.29167,0.156333333,91.0,,,,
519,33.66484012,,2018-02-03,0.06,,-118.2706931,,,,0.148,,10185.125,0.096740741,91.0,,,,
592,33.70208039,,2018-02-01,0.107,,-118.2706931,,,,0.258,,10150.29167,0.164584615,92.0,,,,
593,33.70208039,,2018-02-03,0.043,,-118.2706931,,,,0.165,,10185.125,0.102637681,92.0,,,,
681,33.73932067,,2018-02-01,0.117,,-118.2706931,,,,0.223,,10150.29167,0.169661972,93.0,,,,
682,33.73932067,,2018-02-03,0.043,,-118.2706931,,,,0.21,,10185.125,0.112597222,93.0,,,,
774,33.77656094,,2018-02-01,0.083,,-118.2706931,,,,0.223,,10150.29167,0.148112676,94.0,,,,
775,33.77656094,,2018-02-03,0.05,,-118.2706931,,,,0.21,,10185.125,0.111643836,94.0,,,,
865,33.81380122,,2018-02-01,0.083,,-118.2706931,,,,0.23,,10150.29167,0.147525641,95.0,,,,
866,33.81380122,,2018-02-03,0.051,,-118.2706931,,,,0.186,,10185.125,0.113884615,95.0,,,,
957,33.85104149,,2018-02-01,0.095,,-118.2706931,,,,0.223,,10150.29167,0.147689189,96.0,,,,
958,33.85104149,,2018-02-03,0.064,,-118.2706931,,,,0.156,,10185.125,0.106858974,96.0,,,,
1049,33.88828177,59.70833333,2018-02-01,0.095,22000.0,-118.2706931,17.25416667,-15.65363494,1.92,0.222,107.5985198,10149.04167,0.146236842,97.0,,,,
1050,33.88828177,88.875,2018-02-03,0.079,22000.0,-118.2706931,17.14583333,3.883156813,1.0,0.178,-23.07892378,10183.375,0.112268293,97.0,,,,
1140,33.92552204,34.5,2018-02-01,0.097,22000.0,-118.2706931,17.8625,115.8945126,1.92,0.18,-74.45891729,10144.79167,0.133607143,98.0,,,,
1141,33.92552204,59.04166667,2018-02-03,0.073,22000.0,-118.2706931,18.08333333,,1.92,0.142,,10178.75,0.110348837,98.0,,,,
1233,33.96276232,34.5,2018-02-01,0.082,22000.0,-118.2706931,17.8625,115.8945126,1.92,0.167,-74.45891729,10144.79167,0.128670732,99.0,,,,
1234,33.96276232,59.04166667,2018-02-03,0.062,22000.0,-118.2706931,18.08333333,,1.92,0.145,,10178.75,0.11197561,99.0,,,,
1324,34.00000259,34.5,2018-02-01,0.087,22000.0,-118.2706931,17.8625,115.8945126,1.92,0.159,-74.45891729,10144.79167,0.123658537,100.0,,,,
1325,34.00000259,59.04166667,2018-02-03,0.074,22000.0,-118.2706931,18.08333333,,1.92,0.15,,10178.75,0.112207317,100.0,,,,
1413,34.03724287,34.5,2018-02-01,0.085,22000.0,-118.2706931,17.8625,115.8945126,1.92,0.16,-74.45891729,10144.79167,0.12738961,101.0,,,,
1414,34.03724287,59.04166667,2018-02-03,0.07,22000.0,-118.2706931,18.08333333,,1.92,0.162,,10178.75,0.115333333,101.0,,,,
1500,34.07448314,34.5,2018-02-01,0.081,22000.0,-118.2706931,17.8625,115.8945126,1.92,0.162,-74.45891729,10144.79167,0.127052632,102.0,,,,
1501,34.07448314,59.04166667,2018-02-03,0.075,22000.0,-118.2706931,18.08333333,,1.92,0.156,,10178.75,0.110203125,102.0,,,,
1586,34.11172342,34.5,2018-02-01,0.09,22000.0,-118.2706931,17.8625,115.8945126,1.92,0.163,-74.45891729,10144.79167,0.12412,103.0,,,,
1587,34.11172342,59.04166667,2018-02-03,0.062,22000.0,-118.2706931,18.08333333,,1.92,0.155,,10178.75,0.1026625,103.0,,,,
1675,34.14896369,34.5,2018-02-01,0.103,22000.0,-118.2706931,17.8625,115.8945126,1.92,0.208,-74.45891729,10144.79167,0.126755102,104.0,,,,
1676,34.14896369,59.04166667,2018-02-03,0.05,22000.0,-118.2706931,18.08333333,,1.92,0.162,,10178.75,0.11185,104.0,,,,
1764,34.18620397,34.5,2018-02-01,0.077,22000.0,-118.2706931,17.8625,115.8945126,1.92,0.208,-74.45891729,10144.79167,0.122090909,105.0,,,,
1765,34.18620397,59.04166667,2018-02-03,0.026,22000.0,-118.2706931,18.08333333,,1.92,0.163,,10178.75,0.103112676,105.0,,,,
1850,33.66484012,,2018-02-01,0.124,,-118.3156088,,,,0.213,,10150.29167,0.165666667,76.0,,,,
1851,33.66484012,,2018-02-03,0.057,,-118.3156088,,,,0.149,,10185.125,0.0940625,76.0,,,,
1919,33.70208039,,2018-02-01,0.105,,-118.3156088,,,,0.225,,10150.29167,0.15790566,77.0,,,,
1920,33.70208039,,2018-02-03,0.039,,-118.3156088,,,,0.149,,10185.125,0.092973333,77.0,,,,
2007,33.73932067,49.28571429,2018-02-01,0.092,20820.42857,-118.3156088,17.93333333,-96.88441668,0.0,0.242,-18.85640675,,0.159260274,78.0,,,,
2008,33.73932067,66.92307692,2018-02-03,0.034,22000.0,-118.3156088,18.5,-46.75990333,0.0,0.164,39.4554067,,0.085565789,78.0,,,,
2097,33.77656094,49.28571429,2018-02-01,0.092,20820.42857,-118.3156088,17.93333333,-96.88441668,0.0,0.196,-18.85640675,,0.139297297,79.0,,,,
2098,33.77656094,66.92307692,2018-02-03,0.044,22000.0,-118.3156088,18.5,-46.75990333,0.0,0.165,39.4554067,,0.094708861,79.0,,,,
2186,33.81380122,49.28571429,2018-02-01,0.093,20820.42857,-118.3156088,17.93333333,-96.88441668,0.0,0.178,-18.85640675,,0.14177381,80.0,,,,
2187,33.81380122,66.92307692,2018-02-03,0.051,22000.0,-118.3156088,18.5,-46.75990333,0.0,0.165,39.4554067,,0.100569767,80.0,,,,
2276,33.85104149,49.28571429,2018-02-01,0.088,20820.42857,-118.3156088,17.93333333,-96.88441668,0.0,0.181,-18.85640675,,0.130560606,81.0,,,,
2277,33.85104149,66.92307692,2018-02-03,0.059,22000.0,-118.3156088,18.5,-46.75990333,0.0,0.148,39.4554067,,0.086654762,81.0,,,,
2367,33.88828177,59.70833333,2018-02-01,0.097,22000.0,-118.3156088,17.25416667,-15.65363494,1.92,0.205,107.5985198,10149.04167,0.1301,82.0,,,,
2368,33.88828177,88.875,2018-02-03,0.055,22000.0,-118.3156088,17.14583333,3.883156813,1.0,0.165,-23.07892378,10183.375,0.102858974,82.0,,,,
2459,33.92552204,59.70833333,2018-02-01,0.097,22000.0,-118.3156088,17.25416667,-15.65363494,1.92,0.18,107.5985198,10149.04167,0.132575758,83.0,,,,
2460,33.92552204,88.875,2018-02-03,0.071,22000.0,-118.3156088,17.14583333,3.883156813,1.0,0.165,-23.07892378,10183.375,0.112294872,83.0,,,,
2548,33.96276232,59.70833333,2018-02-01,0.078,22000.0,-118.3156088,17.25416667,-15.65363494,1.92,0.166,107.5985198,10149.04167,0.126177215,84.0,,,,
2549,33.96276232,88.875,2018-02-03,0.062,22000.0,-118.3156088,17.14583333,3.883156813,1.0,0.141,-23.07892378,10183.375,0.10645,84.0,,,,
2638,34.00000259,34.5,2018-02-01,0.074,22000.0,-118.3156088,17.8625,115.8945126,1.92,0.161,-74.45891729,10144.79167,0.119378049,85.0,,,,
2639,34.00000259,59.04166667,2018-02-03,0.063,22000.0,-118.3156088,18.08333333,,1.92,0.134,,10178.75,0.102869048,85.0,,,,
2727,34.03724287,34.5,2018-02-01,0.074,22000.0,-118.3156088,17.8625,115.8945126,1.92,0.165,-74.45891729,10144.79167,0.122083333,86.0,,,,
2728,34.03724287,59.04166667,2018-02-03,0.046,22000.0,-118.3156088,18.08333333,,1.92,0.148,,10178.75,0.10235,86.0,,,,
2816,34.07448314,34.5,2018-02-01,0.081,22000.0,-118.3156088,17.8625,115.8945126,1.92,0.166,-74.45891729,10144.79167,0.124043478,87.0,,,,
2817,34.07448314,59.04166667,2018-02-03,0.048,22000.0,-118.3156088,18.08333333,,1.92,0.156,,10178.75,0.106333333,87.0,,,,
2907,34.11172342,34.5,2018-02-01,0.09,22000.0,-118.3156088,17.8625,115.8945126,1.92,0.155,-74.45891729,10144.79167,0.1213,88.0,,,,
2908,34.11172342,59.04166667,2018-02-03,0.041,22000.0,-118.3156088,18.08333333,,1.92,0.15,,10178.75,0.092898734,88.0,,,,
2997,34.14896369,18.92592593,2018-02-01,0.102,22000.0,-118.3156088,18.45925926,-41.59484399,1.92,0.158,-39.64621713,10140.08333,0.124604651,89.0,,,,
2998,34.14896369,32.625,2018-02-03,0.041,22000.0,-118.3156088,18.84166667,60.9179873,1.92,0.162,-11.60935782,10172.95833,0.100048193,89.0,,,,
