grid_id,location,tz,wkt,Latitudes,Longitudes,dist,STATION,station_distance
1X116,Taipei,Asia/Taipei,"POLYGON ((121.5257644471362 24.97766123020391, 121.5257644471362 25.01836939334328, 121.4808486829302 25.01836939334328, 121.4808486829302 24.97766123020391, 121.5257644471362 24.97766123020391))",24.99801531,121.5033066,9.820168984086663,46699099999,1.0192787621750952
3S31A,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.9338248256995 33.79558357488509, -117.9338248256995 33.83290166381627, -117.9787405899055 33.83290166381627, -117.9787405899055 33.79558357488509, -117.9338248256995 33.79558357488509))",33.81424262,117.9562827,0.9430931732560098,72297603166,0.061968360250652464
7334C,Delhi,Asia/Calcutta,"POLYGON ((77.12486872733885 28.54664454217707, 77.12486872733885 28.58609243100243, 77.07995296313287 28.58609243100243, 77.07995296313287 28.54664454217707, 77.12486872733885 28.54664454217707))",28.56636849,77.10241085,40.24730223784181,42181099999,0.0006898021474325485
8KNI6,Delhi,Asia/Calcutta,"POLYGON ((77.30453178416276 28.46770443564941, 77.30453178416276 28.50718187266299, 77.25961601995678 28.50718187266299, 77.25961601995678 28.46770443564941, 77.30453178416276 28.46770443564941))",28.48744315,77.2820739,40.07938647859719,42183099999,0.5910963790916122
9Q6TA,Taipei,Asia/Taipei,"POLYGON ((121.5706802113421 25.05906406274214, 121.5706802113421 25.09974522235117, 121.5257644471362 25.09974522235117, 121.5257644471362 25.05906406274214, 121.5706802113421 25.05906406274214))",25.07940464,121.5482223,9.768596537608254,46696099999,0.010539464279530794
A2FBI,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.3948356552278 33.98201108613195, -117.3948356552278 34.01924766510738, -117.4397514194338 34.01924766510738, -117.4397514194338 33.98201108613195, -117.3948356552278 33.98201108613195))",34.00062938,117.4172935,0.4816109502357498,72286903171,0.053151189046287545
D7S1G,Delhi,Asia/Calcutta,"POLYGON ((77.34944754836873 28.66494381399507, 77.34944754836873 28.70434728194878, 77.30453178416276 28.70434728194878, 77.30453178416276 28.66494381399507, 77.34944754836873 28.66494381399507))",28.68464555,77.32698966,40.009495168004406,42139099999,0.5119435253485217
DHO4M,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.3380667035533 34.16803061743935, -118.3380667035533 34.20518547216206, -118.3829824677593 34.20518547216206, -118.3829824677593 34.16803061743935, -118.3380667035533 34.16803061743935))",34.18660804,118.3605246,1.418242685186884,72288023152,0.014276042623977418
DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724,0.7310759163686283,72032999999,0.045722326509758125
E5P9N,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.4846671836398 33.98201108613195, -117.4846671836398 34.01924766510738, -117.5295829478457 34.01924766510738, -117.5295829478457 33.98201108613195, -117.4846671836398 33.98201108613195))",34.00062937,117.5071251,0.55856667396086,72033353175,0.14031313056733957
FRITQ,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.1584036467294 33.83290166381627, -118.1584036467294 33.87020346808818, -118.2033194109354 33.87020346808818, -118.2033194109354 33.83290166381627, -118.1584036467294 33.83290166381627))",33.85155257,118.1808615,1.170181849536803,72297023129,0.05282712496299491
GJLB2,Delhi,Asia/Calcutta,"POLYGON ((77.12486872733885 28.46770443564941, 77.12486872733885 28.50718187266299, 77.07995296313287 28.50718187266299, 77.07995296313287 28.46770443564941, 77.12486872733885 28.46770443564941))",28.48744315,77.10241084,40.25751080656328,42178099999,0.1244881527672784
H96P6,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.5177297603772 34.16803061743935, -118.5177297603772 34.20518547216206, -118.5626455245832 34.20518547216206, -118.5626455245832 34.16803061743935, -118.5177297603772 34.16803061743935))",34.18660804,118.5401876,1.5895201248688484,72288623130,0.05600855474658106
HANW9,Delhi,Asia/Calcutta,"POLYGON ((77.21470025575081 28.54664454217707, 77.21470025575081 28.58609243100243, 77.16978449154482 28.58609243100243, 77.16978449154482 28.54664454217707, 77.21470025575081 28.54664454217707))",28.56636848,77.19224237,40.158215731057176,42182099999,0.022638456059260452
KW43U,Taipei,Asia/Taipei,"POLYGON ((121.6155959755481 25.01836939334328, 121.6155959755481 25.05906406274214, 121.5706802113421 25.05906406274214, 121.5706802113421 25.01836939334328, 121.6155959755481 25.01836939334328))",25.03871673,121.5931381,9.825499920595941,46708099999,0.345550128423507
PG3MI,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.2033194109354 34.05646791625069, -118.2033194109354 34.09367183102137, -118.2482351751414 34.09367183102137, -118.2482351751414 34.05646791625069, -118.2033194109354 34.05646791625069))",34.07506987,118.2257773,1.2564762505236151,72287493134,0.0831637099527563
PW0JT,Delhi,Asia/Calcutta,"POLYGON ((76.94520567051495 28.66494381399507, 76.94520567051495 28.70434728194878, 76.90028990630897 28.70434728194878, 76.90028990630897 28.66494381399507, 76.94520567051495 28.66494381399507))",28.68464555,76.92274779,40.41053790213478,42176099999,0.37055396775911054
VBLD0,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.2033194109354 33.87020346808818, -118.2033194109354 33.9074889790035, -118.2482351751414 33.9074889790035, -118.2482351751414 33.87020346808818, -118.2033194109354 33.87020346808818))",33.88884623,118.2257773,1.2190705296461322,72295603167,0.11358027187721613
VR4WG,Taipei,Asia/Taipei,"POLYGON ((121.5257644471362 25.05906406274214, 121.5257644471362 25.09974522235117, 121.4808486829302 25.09974522235117, 121.4808486829302 25.05906406274214, 121.5257644471362 25.05906406274214))",25.07940464,121.5033066,9.7478417991866,46686099999,0.2704897778253576
WT52R,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-116.8558464847561 33.9074889790035, -116.8558464847561 33.94475818789627, -116.9007622489621 33.94475818789627, -116.9007622489621 33.9074889790035, -116.8558464847561 33.9074889790035))",33.92612358,116.8783044,0.23730189727711176,72068799999,0.23730189727711176
X5DKW,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.5744987120517 34.01924766510738, -117.5744987120517 34.05646791625069, -117.6194144762577 34.05646791625069, -117.6194144762577 34.01924766510738, -117.5744987120517 34.01924766510738))",34.03785779,117.5969566,0.6553408648251421,74704003102,0.018552308682320242
XJF9O,Taipei,Asia/Taipei,"POLYGON ((121.5257644471362 25.01836939334328, 121.5257644471362 25.05906406274214, 121.4808486829302 25.05906406274214, 121.4808486829302 25.01836939334328, 121.5257644471362 25.01836939334328))",25.03871673,121.5033066,9.783981591812129,58968099999,0.014403850824161459
ZP1FZ,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.8439932972876 34.13085940091023, -117.8439932972876 34.16803061743935, -117.8889090614936 34.16803061743935, -117.8889090614936 34.13085940091023, -117.8439932972876 34.13085940091023))",34.14944501,117.8664512,0.9461938604727351,72288703180,0.09671578414787833
ZZ8JF,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.3050041268159 33.64614854761477, -117.3050041268159 33.68353168758084, -117.3499198910219 33.68353168758084, -117.3499198910219 33.64614854761477, -117.3050041268159 33.64614854761477))",33.66484012,117.327462,0.31825319537700514,99999953151,0.26400654461133166
